ano;sigla_uf;sigla_uf_nome;id_municipio_nome;tipo_vinculo;vinculo_ativo_3112;tipo_admissao;mes_admissao;mes_desligamento;motivo_desligamento;tempo_emprego;quantidade_horas_contratadas;indicador_trabalho_parcial;indicador_trabalho_intermitente;valor_remuneracao_media;cnae_2_subclasse_descricao_secao;idade;grau_instrucao_apos_2005;sexo;raca_cor;tamanho_estabelecimento;natureza_juridica_descricao;indicador_simples;salario_hora;ln_salario_hora
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ DET;Não;Reemprego;6;9;Término do contrato de trabalho.;2.9;44;Não;Não;1431.36;Indústrias De Transformação;46;MEDIO COMPL;Masculino;Parda;De 10 a 19;Sociedade Empresária Limitada;Não;8.132727272727273;2.0958963252063314
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ IND;Não;Reemprego;2;11;Rescisão sem justa causa por iniciativa do empregado ou exoneração a pedido;9.1;44;Não;Não;3295.58;Indústrias De Transformação;30;MEDIO COMPL;Masculino;Branca;De 10 a 19;Sociedade Empresária Limitada;Sim;18.72488636363636;2.929853460687211
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ IND;Sim;Não Admitido Ano;0;0;;37.0;44;Não;Não;1886.93;Indústrias De Transformação;56;MEDIO COMPL;Feminino;Branca;Até 4;Sociedade Empresária Limitada;Sim;10.721193181818181;2.372222453722879
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ IND;Sim;Não Admitido Ano;0;0;;13.6;44;Não;Não;1888.17;Indústrias De Transformação;22;MEDIO COMPL;Masculino;Branca;De 50 a 99;Sociedade Empresária Limitada;Não;10.728238636363637;2.3728793899866045
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ IND;Sim;Não Admitido Ano;0;0;;36.4;44;Não;Não;2901.29;Indústrias De Transformação;55;MEDIO COMPL;Masculino;Branca;De 10 a 19;Sociedade Empresária Limitada;Sim;16.484602272727273;2.8024267496161595
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ IND;Sim;Não Admitido Ano;0;0;;17.0;44;Não;Não;2381.63;Indústrias De Transformação;32;MEDIO COMPL;Masculino;Branca;De 10 a 19;Sociedade Empresária Limitada;Sim;13.531988636363637;2.6050564111578107
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ DET;Não;Não Admitido Ano;0;3;Término do contrato de trabalho.;2.9;44;Não;Não;2240.0;Indústrias De Transformação;22;MEDIO COMPL;Masculino;Branca;De 20 a 49;Sociedade Empresária Limitada;Sim;12.727272727272727;2.5437471498109336
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ IND;Não;Transferência sem Ônus;2;4;Rescisão sem justa causa por iniciativa do empregador.;2.5;44;Não;Não;2303.94;Indústrias De Transformação;32;MEDIO COMPL;Masculino;Branca;De 20 a 49;Sociedade Empresária Limitada;Não;13.090568181818183;2.5718919847718733
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ IND;Não;Não Admitido Ano;0;8;Rescisão sem justa causa por iniciativa do empregador.;33.1;44;Não;Não;1997.35;Indústrias De Transformação;42;MEDIO COMPL;Masculino;Preta;De 20 a 49;Sociedade Empresária Limitada;Não;11.348579545454545;2.429092585915258
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ IND;Sim;Não Admitido Ano;0;0;;32.4;44;Não;Não;4604.41;Indústrias De Transformação;25;SUP. INCOMP;Masculino;Parda;De 250 a 499;Sociedade Anônima Fechada;Não;26.161420454545453;3.2642858238360324
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ IND;Não;Não Admitido Ano;0;9;Rescisão sem justa causa por iniciativa do empregador.;30.0;44;Não;Não;2135.77;Indústrias De Transformação;32;FUND COMPL;Masculino;Parda;De 20 a 49;Sociedade Empresária Limitada;Não;12.135056818181818;2.4960985213416302
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ IND;Sim;Reemprego;9;0;;3.7;43;Não;Não;3396.92;Indústrias De Transformação;50;SUP. COMP;Masculino;Amarela;De 20 a 49;Sociedade Empresária Limitada;Sim;19.74953488372093;2.9831299408784755
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ IND;Sim;Não Admitido Ano;0;0;;20.3;40;Não;Não;1958.74;Indústrias De Transformação;22;MEDIO COMPL;Feminino;Branca;Até 4;Sociedade Empresária Limitada;Sim;12.242125;2.5048828731266264
